cell_id_dna	ptime	ptime2
1	AS-485326-LR-51079	0.604362749033247	0.604378749951117
2	AS-485400-LR-51079	1.40186865181874	1.47228747270473
3	AS-485434-LR-51078	1.765725859612	2.0430754917432
4	AS-485456-LR-51078	0.65125835091595	0.652886914510426
5	AS-485458-LR-51078	1.11664146225896	1.14148045003196
6	AS-485480-LR-51078	0.374374738337317	0.374478295367666
7	AS-485482-LR-51078	0.580549117840323	0.581844513511575
8	AS-485506-LR-51078	3.87999244728446	NA
9	AS-485350-LR-51079	2.48856819126997	NA
10	AS-485354-LR-51079	1.56614645743815	1.62657179513723
11	AS-485378-LR-51079	0.624747179262117	0.625473531460068
12	AS-485338-LR-51079	4.14139610629963	NA
13	AS-485410-LR-51079	4.1881919770746	NA
14	AS-485412-LR-51079	3.83617931736498	NA
15	AS-485414-LR-51079	4.533003840788	NA
16	AS-485446-LR-51078	4.0302413512879	NA
17	AS-485448-LR-51078	3.75281899321233	NA
18	AS-485468-LR-51078	3.78627327480163	NA
19	AS-485470-LR-51078	4.03770145696589	NA
20	AS-485472-LR-51078	3.81528151610918	NA
21	AS-485492-LR-51078	3.89386726799327	NA
22	AS-485340-LR-51079	4.06181388291912	NA
23	AS-485494-LR-51078	3.96264867933914	NA
24	AS-485516-LR-51078	3.62693528538264	NA
25	AS-485518-LR-51078	3.82722205613038	NA
26	AS-485362-LR-51079	4.70349076828843	NA
27	AS-485364-LR-51079	4.61387360690641	NA
28	AS-485366-LR-51079	3.68958482859425	NA
29	AS-485386-LR-51079	4.19766801041499	NA
30	AS-485388-LR-51079	3.56815880208382	NA
31	AS-485320-LR-51079	1.13818773706471	1.16936862566733
32	AS-485474-LR-51078	0.613182357467829	0.612262940025735
33	AS-485322-LR-51079	NA	7.11066253106953
34	AS-485498-LR-51078	0.427960206170788	0.426856506524659
35	AS-485500-LR-51078	0.468823627477705	0.468515222823236
36	AS-485502-LR-51078	0.639501839192892	0.642305496269341
37	AS-485324-LR-51079	0.828183382675453	0.832429639156643
38	AS-485344-LR-51079	0.819816921757941	0.82227788901864
39	AS-485346-LR-51079	0.54628893372129	NA
40	AS-485404-LR-51079	NA	7.20160373380161
41	AS-485486-LR-51078	NA	7.41767839630209
42	AS-485488-LR-51078	NA	6.80458448871199
43	AS-485512-LR-51078	NA	7.4431697775095
44	AS-485514-LR-51078	NA	7.30921328726865
45	AS-485356-LR-51079	NA	6.98363945190457
46	AS-485360-LR-51079	NA	6.79097671162532
47	AS-485380-LR-51079	NA	7.32794329891789
48	AS-538964-LR-53397	3.69842881101471	NA
49	AS-539036-LR-53397	0.818605082349269	0.821423346702756
50	AS-539040-LR-53397	3.64377812187583	NA
51	AS-539062-LR-53397	1.42951885508998	1.46092176090603
52	AS-539064-LR-53397	3.7076565081509	NA
53	AS-539084-LR-53397	3.25300188800196	NA
54	AS-539088-LR-53397	0.809843908506662	0.816855335145406
55	AS-539108-LR-53397	1.85641478375177	1.85598681440525
56	AS-539110-LR-53397	0.48015036767489	0.482048420087459
57	AS-539132-LR-53397	3.57961260038216	NA
58	AS-538990-LR-53397	0.517060071209122	0.517761470623514
59	AS-538992-LR-53397	1.54769000023977	1.58274353011114
60	AS-539014-LR-53397	1.63468024389684	1.69257560417554
61	AS-539016-LR-53397	1.37897675170423	1.42351520618082
62	AS-538976-LR-53397	3.86809424075626	NA
63	AS-539048-LR-53397	3.66576119638433	NA
64	AS-539050-LR-53397	3.97664561622054	NA
65	AS-539052-LR-53397	4.04187761786368	NA
66	AS-539072-LR-53397	3.79400882327172	NA
67	AS-539074-LR-53397	3.84614414999355	NA
68	AS-539076-LR-53397	3.92737914970437	NA
69	AS-539096-LR-53397	3.71695822996353	NA
70	AS-539098-LR-53397	3.8205165708688	NA
71	AS-539100-LR-53397	3.84008553253295	NA
72	AS-539120-LR-53397	3.81236155557337	NA
73	AS-538978-LR-53397	3.93239967922624	NA
74	AS-539122-LR-53397	3.89139714413986	NA
75	AS-539144-LR-53397	3.77965230967413	NA
76	AS-539146-LR-53397	3.85698581666167	NA
77	AS-539148-LR-53397	3.85195425963151	NA
78	AS-538980-LR-53397	3.90674338543158	NA
79	AS-539000-LR-53397	3.73219883792496	NA
80	AS-539002-LR-53397	3.95700319408937	NA
81	AS-539004-LR-53397	3.85482666759154	NA
82	AS-539024-LR-53397	3.81747263677946	NA
83	AS-539026-LR-53397	3.70845072436365	NA
84	AS-539028-LR-53397	3.92241356698776	NA
85	AS-538958-LR-53397	2.90439057225422	NA
86	AS-539034-LR-53397	0.664122507534788	0.666725033951979
87	AS-539054-LR-53397	0.704831142015452	0.705122034859743
88	AS-539078-LR-53397	0.521610151247106	0.519035904959636
89	AS-539080-LR-53397	NA	7.79334557418113
90	AS-539082-LR-53397	1.07660048684692	1.07611470155476
91	AS-539102-LR-53397	NA	6.73448751614849
92	AS-538960-LR-53397	NA	7.10527554114644
93	AS-539126-LR-53397	0.672625167938194	0.675296669049098
94	AS-539130-LR-53397	NA	7.67636709673756
95	AS-538962-LR-53397	NA	7.4290691661111
96	AS-538982-LR-53397	NA	7.57785897613595
97	AS-538986-LR-53397	0.758846092967786	0.762533390398488
98	AS-539006-LR-53397	0.635153232253416	0.636363139594321
99	AS-539010-LR-53397	NA	6.73527347568438
100	AS-538970-LR-53397	NA	7.56477939037007
101	AS-539042-LR-53397	NA	6.97871936590983
102	AS-539046-LR-53397	NA	7.69659988380063
103	AS-539066-LR-53397	NA	6.99064398173858
104	AS-539068-LR-53397	NA	6.66955617812434
105	AS-539090-LR-53397	NA	7.32667020582038
106	AS-539092-LR-53397	NA	7.45997733826779
107	AS-539094-LR-53397	NA	7.49364609810474
108	AS-539114-LR-53397	NA	7.51806960950328
109	AS-538972-LR-53397	NA	7.49529745996703
110	AS-539116-LR-53397	NA	6.97668591793512
111	AS-539142-LR-53397	NA	7.49266132095783
112	AS-538974-LR-53397	NA	7.46905114441913
113	AS-538994-LR-53397	NA	7.305206811692
114	AS-538998-LR-53397	NA	6.94098375881345
115	AS-539020-LR-53397	NA	6.99462163156692
116	AS-539022-LR-53397	NA	7.05616127895128
117	AS-558309-LR-56166_AS-558502-LR-56167	0.453987482704961	0.45539911913464
118	AS-558381-LR-56166_AS-558574-LR-56167	0.53072280271071	0.53073973197991
119	AS-558383-LR-56166_AS-558576-LR-56167	1.43407606042149	1.48349748398517
120	AS-558385-LR-56166_AS-558578-LR-56167	0.584747666049366	0.585782679672012
121	AS-558405-LR-56166_AS-558598-LR-56167	1.57775352921486	1.66551092222823
122	AS-558407-LR-56166_AS-558600-LR-56167	1.45898609793155	1.50963568823748
123	AS-558409-LR-56166_AS-558602-LR-56167	0.763179389934698	0.76744155147054
124	AS-558429-LR-56166_AS-558622-LR-56167	0.351632643380834	0.351691965775644
125	AS-558431-LR-56166_AS-558624-LR-56167	0.794507613361849	0.798319999558005
126	AS-558433-LR-56166_AS-558626-LR-56167	0.377559034616118	0.378288911614999
127	AS-558453-LR-56166_AS-558646-LR-56167	1.50462811289295	1.58516367536955
128	AS-558311-LR-56166_AS-558504-LR-56167	0.689121034503232	0.693073474308263
129	AS-558479-LR-56166_AS-558672-LR-56167	2.84658717983494	NA
130	AS-558481-LR-56166_AS-558674-LR-56167	0.326108908980455	0.326176534264685
131	AS-558313-LR-56166_AS-558506-LR-56167	1.56781213896786	1.72686023325935
132	AS-558333-LR-56166_AS-558526-LR-56167	1.56575056138492	1.65639800487764
133	AS-558335-LR-56166_AS-558528-LR-56167	1.58794073793178	1.64694281592106
134	AS-558337-LR-56166_AS-558530-LR-56167	0.696654857481684	0.697580541750563
135	AS-558357-LR-56166_AS-558550-LR-56167	0.534468665821871	0.537207341407712
136	AS-558359-LR-56166_AS-558552-LR-56167	1.34707280020062	1.3901772285688
137	AS-558361-LR-56166_AS-558554-LR-56167	0.597149398224728	0.595649903184593
138	AS-558321-LR-56166_AS-558514-LR-56167	0.594687479725261	0.598378242648346
139	AS-558393-LR-56166_AS-558586-LR-56167	0.52375213320222	0.524510084050272
140	AS-558395-LR-56166_AS-558588-LR-56167	2.17002744193088	NA
141	AS-558397-LR-56166_AS-558590-LR-56167	1.95316053278005	2.1437059739373
142	AS-558417-LR-56166_AS-558610-LR-56167	0.493070762221468	0.493912942347814
